1 -0.958168
2 -0.184016
3 -0.0782007
4 -0.0434395
5 -0.0276654
6 -0.0191626
7 -0.0140568
8 -0.0107514
9 -0.00848901
10 -0.00687268
11 -0.0056778
12 -0.00476959
13 -0.00406314
14 -0.00350281
15 -0.00305091
16 -0.00268116
17 -0.00237478
18 -0.00211808
19 -0.00190086
20 -0.00171543
21 -0.00155587
22 -0.00141758
23 -0.00129694
24 -0.00119107
25 -0.00109766
26 -0.00101482
27 -0.000941022
28 -0.000874989
29 -0.00081567
30 -0.000762186
31 -0.000713795
32 -0.00066987
33 -0.000629879
34 -0.000593366
35 -0.000559938
36 -0.000529257
37 -0.000501031
38 -0.000475004
39 -0.000450954
40 -0.000428685
41 -0.000408026
42 -0.000388825
43 -0.000370948
44 -0.000354277
45 -0.000338704
46 -0.000324137
47 -0.000310489
48 -0.000297686
49 -0.000285658
50 -0.000274345
51 -0.000263691
52 -0.000253646
53 -0.000244164
54 -0.000235204
55 -0.000226728
56 -0.000218702
57 -0.000211095
58 -0.000203879
59 -0.000197026
60 -0.000190512
61 -0.000184317
62 -0.000178419
63 -0.000172799
64 -0.000167441
65 -0.000162329
66 -0.000157447
67 -0.000152782
68 -0.000148321
69 -0.000144053
70 -0.000139966
71 -0.000136051
72 -0.000132298
73 -0.000128698
74 -0.000125243
75 -0.000121925
76 -0.000118738
77 -0.000115674
78 -0.000112727
79 -0.000109891
80 -0.00010716
81 -0.000104531
82 -0.000101997
83 -9.95537e-05
84 -9.71974e-05
85 -9.49238e-05
86 -9.2729e-05
87 -9.06095e-05
88 -8.85619e-05
89 -8.65828e-05
90 -8.46694e-05
91 -8.28187e-05
92 -8.10281e-05
93 -7.92948e-05
94 -7.76166e-05
95 -7.59912e-05
96 -7.44162e-05
97 -7.28898e-05
98 -7.14098e-05
99 -6.99744e-05
100 -6.85819e-05
